DATE,DENGSP
1997-01-01,33353.4
1998-01-01,37106.0
1999-01-01,40345.1
2000-01-01,43451.3
2001-01-01,46096.1
2002-01-01,45508.3
2003-01-01,47686.1
2004-01-01,51353.7
2005-01-01,52153.5
2006-01-01,55174.4
2007-01-01,56612.8
2008-01-01,55459.8
2009-01-01,57849.7
2010-01-01,58163.5
2011-01-01,61372.2
2012-01-01,62354.6
2013-01-01,61716.2
2014-01-01,68354.7
2015-01-01,71913.9
2016-01-01,69355.0
2017-01-01,68302.5
2018-01-01,72168.3
2019-01-01,76923.7
2020-01-01,75818.6
2021-01-01,81160.0
2022-01-01,87524.8
