DATE,PANGSP
1997-01-01,356988.0
1998-01-01,373748.5
1999-01-01,390916.8
2000-01-01,409159.9
2001-01-01,427108.6
2002-01-01,440971.7
2003-01-01,460270.6
2004-01-01,487306.1
2005-01-01,511731.4
2006-01-01,531274.1
2007-01-01,565831.8
2008-01-01,588024.6
2009-01-01,582144.8
2010-01-01,604736.8
2011-01-01,624819.7
2012-01-01,647925.9
2013-01-01,668569.1
2014-01-01,694142.6
2015-01-01,714202.9
2016-01-01,726561.9
2017-01-01,746441.0
2018-01-01,773977.4
2019-01-01,799888.8
2020-01-01,771613.2
2021-01-01,844496.5
2022-01-01,923088.8
